

         MODEL DEFAULTS
         --------------

Model Name:         SigCake2
Model Description:  
Output File:        UNTITLED.OUT
Output Plot Style:  NOAUTO_FIT
Run Mode:           HI_SPEED
Trace Vars:         QTYPE,Q[TYPE],OPTIME[3],OPTIME[2],INDEX,TYPE,SUPPLY[1;1
Random Number Seed: 12346
Initial Values:     8,4,4,4,120,360,30,30,30,30,.4,.4,.2,.1,.3,.3,.3,.1,.3,.3,.3,.1,.3,.3,.3
Ending Condition:   STOP_ON_TIME
Ending Time:        20000.000
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       QTYPE       Q[TYPE]     OPTIME[3]   OPTIME[2]   INDEX       TYPE        SUPPLY[1;1 
 165.023     START_S     30          0           0           1           480         4           1           45          
 165.058     FINISH      27          0           0           1           480         3           1           45          
 165.058     CHECK_S     25          0           0           1           480         4           1           45          
 165.058     SUP         31          0           0           1           480         4           1           45          
 165.058     START_S     31          0           0           1           480         4           1           45          
 166.451     FINISH      28          0           0           1           480         4           3           45          
 166.451     LEAVE       4           0           0           1           480         4           3           45          
 166.852     ARRIVE      8           0           0           1           480         4           3           45          
 166.852     SUP         32          0           0           1           480         0           3           45          
 166.852     START_S     32          0           0           1           480         0           3           45          
 168.966     FINISH      29          0           0           1           480         2           2           45          
 168.966     CHECK_S     26          0           0           1           480         3           2           45          
 168.966     CHECK_S     27          0           0           1           480         4           2           45          
 168.966     SUP         33          0           0           1           480         4           2           45          
 168.966     START_S     33          0           0           1           480         4           2           45          
 169.743     FINISH      30          0           0           1           480         0           1           45          
 169.743     CHECK_S     28          0           0           1           480         1           1           45          
 169.743     SUP         34          0           0           1           480         1           1           45          
 169.743     START_S     34          0           0           1           480         1           1           45          
 172.193     FINISH      31          0           0           1           480         3           2           45          
 172.193     CHECK_S     29          0           0           1           480         4           2           45          
 172.193     LEAVE       5           0           0           1           480         4           2           45          
 172.978     FINISH      32          0           0           1           480         1           3           45          
 172.978     CHECK_S     30          0           0           1           480         2           3           45          
